SERVICE_KEY,STOP_HOURS,FROM_LOCATION_ID,TO_LOCATION_ID,COUNT,P05,P25,P50,P75,P95
S,6,2763,2761,23,22,22,23,24,26.9
S,6,2768,10593,25,24,25,26,28,29
S,6,3091,3105,23,22,24,27,29,37.699999999999996
S,6,3092,3097,22,22.05,24,26,27,30
S,6,3105,10879,25,21,24,26,29,34.19999999999999
S,6,3633,2642,54,32.65,37,41,44,49.69999999999999
S,6,3635,2641,23,72.30000000000001,78.5,82,88.5,92.9
S,6,3637,3641,38,27.700000000000003,31,32.5,34,38.449999999999996
S,6,3639,3635,22,29.049999999999997,31,35,37,39
S,6,3669,4290,26,26.25,29.25,33.5,43,63
S,6,4014,4026,22,21.049999999999997,23,26,46.5,59.95
S,6,4016,4014,26,23.25,31,36,45.75,59.25
S,6,406,408,21,21,22,23,24,27
S,6,408,13043,26,24.25,26,28,30,32.75
S,6,410,7216,23,24,26.5,27,28,29.9
S,6,417,410,26,32.25,35,39,42,46.25
S,6,418,422,26,37,40,43,54.5,74
S,6,422,425,25,24,25,27,29,33
S,6,423,417,26,40.25,42.25,44,46.75,68
S,6,425,427,26,24.5,29,39,49.25,62.25
S,6,426,423,26,39.5,43,46.5,49.75,58.75
S,6,4287,6517,26,59.75,65,75.5,104.5,122.5
S,6,429,436,26,28.5,32,33.5,35,37
S,6,4290,4252,26,28.5,31.75,39.5,42.75,50.5
S,6,430,428,26,21.25,24.25,26,27.75,59.75
S,6,4327,211,26,24.25,27,30.5,33,41.5
S,6,435,430,26,36.5,41,43.5,47,52.25
S,6,436,439,23,21,22,24,26,27
S,6,440,435,25,22,23,26,28,30.799999999999997
S,6,449,446,26,23,24.25,26,27,30
S,6,453,456,23,21,22,23,24,24.9
S,6,457,454,26,25.5,29,30.5,32,34.75
S,6,459,7853,26,34.25,35.25,39,41,48.75
S,6,460,457,26,25,27.25,30,30.75,33
S,6,5044,5066,26,35.25,39.25,50.5,60,83
S,6,5045,10795,25,22.2,24,25,28,29
S,6,5048,10793,26,27.25,34,41,67,73
S,6,5070,5076,26,37,40,41,43,49.25
S,6,5091,5094,25,23,25,26,28,41.999999999999986
S,6,5093,10834,26,29,32,35.5,42.75,47.75
S,6,5094,5097,24,21.150000000000002,23,24,25.25,28.849999999999998
S,6,5098,5093,22,21,22,23,25,26.95
S,6,5102,5104,25,21,22,24,27,49.79999999999997
S,6,5103,5100,26,22.5,25.25,28.5,33.5,41
S,6,5104,5110,26,22.75,26,28,29,30.75
S,6,5105,5103,25,24.2,25,27,29,30.599999999999994
S,6,5113,5107,25,21.200000000000003,24,26,28,30.599999999999994
S,6,5118,5123,26,24.25,26.25,29,31,34
S,6,5119,5114,26,22.25,24,25.5,28.75,30.5
S,6,5127,5125,26,29.25,37.25,50.5,64.25,73.5
S,6,5133,5127,26,23,26,27,29.75,31
S,6,5135,5138,25,24.2,33,41,75,94.99999999999997
S,6,5139,5136,26,28.25,30.25,33,35.75,40.75
S,6,5140,5139,26,25.25,27,31,35.75,45.75
S,6,5391,5481,24,23.299999999999997,25,28,29.25,31
S,6,5398,9792,26,28.25,32,35,36,40
S,6,5407,5493,24,22,24.75,26,28.5,43.49999999999997
S,6,5411,12957,26,22.25,28,33.5,48,52
S,6,5472,12397,26,37.5,41.5,55.5,67.75,94.75
S,6,5481,5479,24,22.15,24,26,33.5,43.09999999999999
S,6,5492,5488,23,21.1,23,25,27.5,30
S,6,5493,8851,25,21,22,24,25,31.599999999999994
S,6,5498,7898,26,44,47,51.5,60,71.75
S,6,5846,3669,26,59.5,63.25,71.5,79,89.5
S,6,6014,8414,25,26,28,31,47,56.599999999999994
S,6,6160,6137,29,22,24,26,28,30.599999999999998
S,6,6169,9600,25,32.8,52,58,71,89.79999999999997
S,6,6398,8134,26,28.25,35,46,68.5,84.75
S,6,6427,6398,21,21,29,58,61,68
S,6,6443,6445,24,22,26.75,27.5,29,32
S,6,6444,6442,26,31,37,40,45.75,49.75
S,6,6447,7897,26,29.25,32,34,35,43.25
S,6,6458,13637,21,64,91,95,112,178
S,6,6526,6529,21,21,26,41,48,57
S,6,6529,11026,26,35,38.25,41,47,69.25
S,6,704,820,26,24.25,26,27.5,29,55
S,6,7145,9766,26,39.5,43.25,50.5,62,65.5
S,6,7157,7161,25,26.200000000000003,28,30,32,38
S,6,7161,7163,25,24.2,27,29,30,36.599999999999994
S,6,7162,8963,25,26.6,33,40,49,62.39999999999999
S,6,7163,8981,25,31.4,34,37,46,58.8
S,6,7169,6014,25,30,31,33,52,64.79999999999998
S,6,7174,718,24,25.300000000000004,39.75,62,101.25,115.1
S,6,718,749,22,22.05,25,31,44.25,51.9
S,6,7216,4023,26,40.25,45,47,49.75,55.5
S,6,7311,7314,25,24,26,28,30,31.799999999999997
S,6,7320,10071,25,27.4,29,31,34,36
S,6,747,755,25,24,27,28,29,30.799999999999997
S,6,755,7157,25,29.200000000000003,32,36,55,63.19999999999999
S,6,7588,7591,26,30,34,35,41.5,42.75
S,6,7591,175,26,38.5,40.25,42,43,47.75
S,6,7612,7616,26,37,41.75,77.5,83.75,89
S,6,7616,10491,26,35,37,38,45.5,57.75
S,6,7625,7612,26,48.5,53,62,64,79.5
S,6,7631,7625,26,50.5,63.25,67,69,77.5
S,6,7653,8241,36,22.75,26,27.5,31,33.25
S,6,7654,7659,37,35,38,41,44,63
S,6,7655,7653,38,22,27,29,32,43.09999999999998
S,6,7656,7665,36,21.75,24,27,28.25,31.25
S,6,7658,2635,37,22.799999999999997,25,27,30,37.79999999999996
S,6,7659,12917,35,21,23,24,26,30.89999999999999
S,6,7660,7655,38,25.849999999999998,29.25,37.5,63.5,76.3
S,6,7662,7660,34,21.65,23,26,32.75,49
S,6,7665,8242,36,21.75,24,27,29,32.25
S,6,7666,1792,38,23.85,39,57.5,79.5,112.24999999999997
S,6,7782,792,26,40.25,46.25,49.5,51.75,57.75
S,6,7807,7782,26,52.25,56,61,63.5,66.5
S,6,7853,6443,23,23.1,25,28,28.5,30
S,6,7898,7899,23,22,24,25,33,37
