SERVICE_DATE,SERVICE_KEY,TRAIN,TRIP_NUMBER,bus,ROUTE_NUMBER,DIRECTION,ESTIMATED_LOAD,start_location,depart,end_location,arrive,ACT_ARR_TIME,ACT_DEP_TIME,STOP_TYPE,GPS_LONGITUDE,GPS_LATITUDE,delay,DOOR_OPEN_TIME
02JUL18:00:00:00,W,407,1690,3103,4,1,19,7856,65506,2642,65641,65518,65574,3,-122.65873,45.512833333,56,0
02JUL18:00:00:00,W,407,1850,3103,4,1,7,7856,83136,2642,83277,83148,83188,3,-122.6587233,45.512846667,40,0
02JUL18:00:00:00,W,448,1260,3107,4,1,29,7856,31001,2642,31204,31016,31058,3,-122.6587433,45.512809999999995,42,0
02JUL18:00:00:00,W,448,1470,3107,4,1,15,7856,49330,2642,49481,49347,49385,3,-122.65874170000001,45.512828333,38,0
02JUL18:00:00:00,W,448,1720,3107,4,1,16,7856,68288,2642,68429,68304,68349,3,-122.65873500000001,45.512840000000004,45,0
02JUL18:00:00:00,W,448,1720,3107,4,1,16,7856,68288,2642,68429,68378,68385,3,-122.66056329999999,45.512948333000004,7,0
02JUL18:00:00:00,W,1437,1240,3112,14,1,14,3637,33209,2642,33428,33343,33388,3,-122.6606117,45.512978333,45,0
02JUL18:00:00:00,W,1437,1880,3112,14,1,4,3637,86146,2642,86350,86182,86217,3,-122.658505,45.512938333,35,0
02JUL18:00:00:00,W,420,1880,3131,4,1,3,7856,87519,2642,87633,87531,87549,3,-122.65874170000001,45.512848333,18,0
02JUL18:00:00:00,W,402,1160,3135,4,1,17,7856,27003,2642,27208,27015,27059,3,-122.65871329999999,45.51285,44,0
02JUL18:00:00:00,W,411,1795,3143,4,1,13,7856,75645,2642,75776,75661,75695,3,-122.658725,45.512796666999996,34,0
02JUL18:00:00:00,W,411,1900,3143,4,1,11,7856,91351,2642,91477,91365,91394,3,-122.65871829999999,45.512791666999995,29,0
02JUL18:00:00:00,W,406,1820,3168,4,1,9,7856,79554,2642,79721,79570,79613,3,-122.6587283,45.512828333,43,0
02JUL18:00:00:00,W,410,1330,3265,4,1,22,7856,36592,2642,36802,36612,36715,3,-122.65870670000001,45.512618333,103,0
02JUL18:00:00:00,W,410,1550,3265,4,1,9,7856,54863,2642,54999,54881,54911,3,-122.65874,45.51278,30,0
02JUL18:00:00:00,W,410,1780,3265,4,1,12,7856,73748,2642,73959,73761,73808,3,-122.65873,45.512843333,47,0
02JUL18:00:00:00,W,413,1350,3268,4,1,10,7856,38343,2642,38550,38354,38391,3,-122.658745,45.512801667,37,0
02JUL18:00:00:00,W,405,1080,3312,4,1,0,7856,23235,2642,23359,23241,23269,3,-122.65866329999999,45.51206,28,0
02JUL18:00:00:00,W,405,1380,3312,4,1,0,7856,41140,2642,41341,41155,41182,3,-122.65871329999999,45.512808333,27,0
02JUL18:00:00:00,W,405,1800,3312,4,1,0,7856,77311,2642,77462,77333,77378,3,-122.65871829999999,45.512841667,45,0
02JUL18:00:00:00,W,405,1800,3312,4,1,0,7856,77311,2642,77462,77405,77418,3,-122.6605533,45.512956667,13,0
02JUL18:00:00:00,W,419,1740,3313,4,1,14,7856,69688,2642,69832,69700,69755,3,-122.65871170000001,45.512831667,55,0
02JUL18:00:00:00,W,419,1870,3313,4,1,5,7856,85731,2642,85869,85745,85773,3,-122.65871329999999,45.512846667,28,0
02JUL18:00:00:00,W,414,1680,3322,4,1,15,7856,64527,2642,64736,64546,64587,3,-122.6587367,45.512836666999995,41,0
02JUL18:00:00:00,W,414,1840,3322,4,1,15,7856,81537,2642,81691,81556,81577,3,-122.65874170000001,45.512843333,21,0
02JUL18:00:00:00,W,408,1540,3324,4,1,10,7856,54454,2642,54581,54467,54484,3,-122.65871829999999,45.512831667,17,0
02JUL18:00:00:00,W,408,1540,3324,4,1,10,7856,54454,2642,54581,54514,54528,3,-122.6604883,45.513005,14,0
02JUL18:00:00:00,W,408,1770,3324,4,1,8,7856,72912,2642,73060,72925,72968,3,-122.658705,45.512836666999995,43,0
02JUL18:00:00:00,W,414,1250,3329,4,1,27,7856,30414,2642,30635,30437,30495,3,-122.658725,45.512841667,58,0
02JUL18:00:00:00,W,1401,1890,3329,14,1,1,3637,87759,2642,87984,87812,87937,3,-122.6604867,45.512981667,125,0
02JUL18:00:00:00,W,401,1030,3506,4,1,14,7856,19080,2642,19227,19099,19135,3,-122.6587317,45.512828333,36,0
