SERVICE_DATE,SERVICE_KEY,TRAIN,TRIP_NUMBER,bus,ROUTE_NUMBER,DIRECTION,ESTIMATED_LOAD,start_location,depart,end_location,arrive,ACT_ARR_TIME,ACT_DEP_TIME,STOP_TYPE,GPS_LONGITUDE,GPS_LATITUDE,delay,DOOR_OPEN_TIME
21SEP2017:00:00:00,W,401,1160,3536,4,1,30,7856,27276,2642,27519,27290,27339,3,-122.6587,45.512838333000005,49,0
21SEP2017:00:00:00,W,401,1400,3536,4,1,9,7856,42815,2642,42953,42832,42859,3,-122.6587217,45.512806667,27,0
21SEP2017:00:00:00,W,401,1400,3536,4,1,9,7856,42815,2642,42953,42893,42905,3,-122.6604417,45.512963333,12,0
21SEP2017:00:00:00,W,401,1640,3536,4,1,12,7856,61452,2642,61659,61469,61514,3,-122.6587433,45.512751666999996,45,0
22SEP2017:00:00:00,W,401,1160,3152,4,1,12,7856,27089,2642,27271,27094,27116,3,-122.6586983,45.512061667,22,0
22SEP2017:00:00:00,W,401,1160,3152,4,1,12,7856,27089,2642,27271,27136,27144,3,-122.658745,45.512888333,8,0
22SEP2017:00:00:00,W,401,1400,3152,4,1,0,7856,43107,2642,43310,43122,43155,3,-122.65871000000001,45.512668333,33,0
22SEP2017:00:00:00,W,401,1640,3152,4,1,7,7856,61446,2642,61659,61464,61502,3,-122.6587267,45.512831667,38,0
25SEP2017:00:00:00,W,401,1160,3149,4,1,47,7856,27211,2642,27600,27227,27269,3,-122.6587283,45.512845,42,0
25SEP2017:00:00:00,W,401,1400,3149,4,1,25,7856,43167,2642,43377,43185,43221,3,-122.6587483,45.512855,36,0
25SEP2017:00:00:00,W,401,1400,3149,4,1,25,7856,43167,2642,43377,43253,43262,3,-122.65994669999999,45.512981667,9,0
25SEP2017:00:00:00,W,401,1640,3149,4,1,24,7856,61808,2642,62073,61838,61852,3,-122.65873500000001,45.512851667,14,0
25SEP2017:00:00:00,W,401,1640,3149,4,1,24,7856,61808,2642,62073,61880,61888,3,-122.65956329999999,45.513023333,8,0
26SEP2017:00:00:00,W,401,1160,3165,4,1,5,7856,27060,2642,27416,27300,27329,3,-122.6632767,45.512953333,29,0
26SEP2017:00:00:00,W,401,1400,3165,4,1,29,7856,43241,2642,43388,43255,43284,3,-122.65874170000001,45.51277,29,0
26SEP2017:00:00:00,W,401,1640,3165,4,1,9,7856,61547,2642,61720,61554,61572,3,-122.6587017,45.512058333,18,0
27SEP2017:00:00:00,W,401,1400,3121,4,1,29,7856,43033,2642,43238,43053,43079,3,-122.65871170000001,45.512836666999995,26,0
27SEP2017:00:00:00,W,401,1640,3121,4,1,15,7856,61386,2642,61593,61400,61431,3,-122.6587217,45.512816666999996,31,0
27SEP2017:00:00:00,W,401,1160,3121,4,1,10,7856,27283,2642,27447,27300,27342,3,-122.658705,45.512833333,42,0
28SEP2017:00:00:00,W,401,1160,3127,4,1,20,7856,27058,2642,27482,27092,27206,3,-122.6587283,45.512771666999996,114,0
28SEP2017:00:00:00,W,401,1400,3127,4,1,6,7856,42875,2642,43100,42896,42939,3,-122.6587383,45.512845,43,0
28SEP2017:00:00:00,W,401,1640,3127,4,1,15,7856,61461,2642,61659,61464,61502,3,-122.6586983,45.512051667,38,0
29SEP2017:00:00:00,W,401,1160,3126,4,1,25,7856,27210,2642,27427,27238,27280,3,-122.65870829999999,45.512791666999995,42,0
29SEP2017:00:00:00,W,401,1400,3126,4,1,14,7856,42905,2642,43106,42920,42944,3,-122.6586933,45.512043333,24,0
29SEP2017:00:00:00,W,401,1400,3126,4,1,14,7856,42905,2642,43106,42965,43008,3,-122.65875,45.512808333,43,0
29SEP2017:00:00:00,W,401,1640,3126,4,1,12,7856,61391,2642,61590,61400,61434,3,-122.658695,45.512078333000005,34,0
01SEP2017:00:00:00,W,402,1110,2713,4,1,22,7856,24795,2642,25071,24803,24815,3,-122.658675,45.511953333,12,0
01SEP2017:00:00:00,W,402,1110,2713,4,1,22,7856,24795,2642,25071,24978,25071,3,-122.666665,45.512775,93,0
01SEP2017:00:00:00,W,402,1820,3145,4,1,11,7856,79219,2642,79350,79233,79276,3,-122.65871170000001,45.512823333,43,0
05SEP2017:00:00:00,W,402,1650,3323,4,1,0,7856,62142,2642,62353,62157,62213,3,-122.658745,45.512836666999995,56,0
06SEP2017:00:00:00,W,402,1110,2623,4,1,26,7856,24689,2642,24900,24706,24754,3,-122.6587267,45.512763333,48,0
06SEP2017:00:00:00,W,402,1820,3120,4,1,9,7856,79206,2642,79351,79220,79266,3,-122.6587267,45.512851667,46,0
06SEP2017:00:00:00,W,402,1650,3120,4,1,14,7856,62017,2642,62217,62036,62072,3,-122.65873500000001,45.512838333000005,36,0
07SEP2017:00:00:00,W,402,1820,3144,4,1,8,7856,79231,2642,79353,79247,79271,3,-122.6587383,45.512845,24,0
08SEP2017:00:00:00,W,402,1820,3164,4,1,10,7856,79349,2642,79488,79363,79405,3,-122.6587367,45.512845,42,0
08SEP2017:00:00:00,W,402,1650,3164,4,1,11,7856,62143,2642,62295,62160,62212,3,-122.65874,45.512828333,52,0
